Rk,Player,WAR,Season,Player-additional
137,Chase Utley,9.0,2008,utleych01
138,Barry Bonds,9.0,1992,bondsba01
139,Darrell Evans,9.0,1973,evansda01
140,Honus Wagner,9.0,1907,wagneho01
141,Ted Williams,9.0,1949,willite01
142,Jimmie Foxx,9.0,1933,foxxji01
143,Eddie Collins,9.0,1913,collied01
144,Willie Mays,9.0,1966,mayswi01
145,Roberto Clemente,8.9,1967,clemero01
146,Stan Musial,8.9,1944,musiast01
147,Rogers Hornsby,8.9,1928,hornsro01
148,Lenny Dykstra,8.9,1990,dykstle01
149,Mike Trout,8.9,2013,troutmi01
150,Alex Bregman,8.9,2019,bregmal01
151,Eddie Collins,8.9,1912,collied01
152,Mel Ott,8.9,1938,ottme01
153,Ron Santo,8.9,1966,santoro01
154,Ron Santo,8.9,1964,santoro01
155,Mike Schmidt,8.9,1980,schmimi01
156,Charlie Gehringer,8.9,1934,gehrich01
157,Todd Helton,8.9,2000,heltoto01
158,Arky Vaughan,8.9,1938,vaughar01
159,Fred Lynn,8.9,1979,lynnfr01
160,Mike Schmidt,8.9,1977,schmimi01
161,Bret Boone,8.8,2001,boonebr01
162,Dan Brouthers,8.8,1892,broutda01
163,Stan Musial,8.8,1951,musiast01
164,Álex Rodríguez,8.8,2002,rodrial01
165,Snuffy Stirnweiss,8.8,1945,stirnsn01
166,Dick Allen,8.8,1964,allendi01
167,Lonnie Smith,8.8,1989,smithlo01
168,Rickey Henderson,8.8,1980,henderi01
169,Ken Griffey Jr.,8.8,1993,griffke02
170,George Stone,8.8,1906,stonege01
171,Albert Pujols,8.7,2007,pujolal01
172,Willie Mays,8.7,1961,mayswi01
173,Josh Hamilton,8.7,2010,hamiljo03
174,Frank Robinson,8.7,1962,robinfr02
175,Mickey Mantle,8.7,1958,mantlmi01
176,Jarren Duran,8.7,2024,duranja01
177,Mike Piazza,8.7,1997,piazzmi01
178,Rickey Henderson,8.7,1989,henderi01
179,George Sisler,8.7,1922,sislege01
180,Chuck Knoblauch,8.7,1996,knoblch01
181,Albert Pujols,8.7,2003,pujolal01
182,Tris Speaker,8.7,1916,speaktr01
183,Henry Aaron,8.6,1959,aaronha01
184,Cody Bellinger,8.6,2019,bellico01
185,Joe Morgan,8.6,1974,morgajo02
186,George Brett,8.6,1979,brettge01
187,Gary Carter,8.6,1982,cartega01
188,Will Clark,8.6,1989,clarkwi02
189,Lou Gehrig,8.6,1931,gehrilo01
190,Tris Speaker,8.6,1920,speaktr01
191,Ben Zobrist,8.6,2009,zobribe01
192,Dick Allen,8.6,1972,allendi01
193,Johnny Bench,8.6,1972,benchjo01
194,Charlie Gehringer,8.6,1935,gehrich01
195,Snuffy Stirnweiss,8.6,1944,stirnsn01
196,Tony Gwynn,8.6,1987,gwynnto01
197,Duke Snider,8.6,1955,snidedu01
198,Henry Aaron,8.5,1962,aaronha01
199,Willie Wilson,8.5,1980,wilsowi02
200,Nap Lajoie,8.5,1904,lajoina01
201,Ryne Sandberg,8.5,1984,sandbry01
202,Henry Aaron,8.5,1967,aaronha01
203,Álex Rodríguez,8.5,1998,rodrial01
204,Babe Ruth,8.5,1932,ruthba01
205,Joe Cronin,8.5,1930,cronijo01
206,Albert Pujols,8.5,2004,pujolal01
207,Marcus Semien,8.5,2019,semiema01
208,Albert Pujols,8.5,2006,pujolal01
209,Tris Speaker,8.5,1913,speaktr01
210,Robinson Canó,8.4,2012,canoro01
211,Wade Boggs,8.4,1989,boggswa01
212,Joe Medwick,8.4,1937,medwijo01
213,Brooks Robinson,8.4,1968,robinbr01
214,George Foster,8.4,1977,fostege01
215,Al Kaline,8.4,1961,kalinal01
216,Jackie Robinson,8.4,1952,robinja02
217,Tommy Holmes,8.4,1945,holmeto01
218,Albert Pujols,8.4,2005,pujolal01
