Rk,Player,WAR,Player-additional
159,Jeff Kent,55.4,kentje01
160,David Ortiz,55.3,ortizda01
161,Joe Mauer,55.2,mauerjo01
162,George Sisler,55.0,sislege01
163,Joe Sewell,54.7,seweljo01
164,Joe Medwick,54.5,medwijo01
165,José Cruz,54.4,cruzjo01
166,Sam Rice,54.3,ricesa01
167,Willie Keeler,54.3,keelewi01
168,Vada Pinson,54.2,pinsova01
169,Ian Kinsler,54.1,kinslia01
170,Tony Pérez,53.9,perezto01
171,Ron Cey,53.7,ceyro01
172,Harry Hooper,53.5,hoopeha01
173,Minnie Miñoso,53.3,minosmi01
174,Jimmy Collins,53.3,colliji01
175,Joe Tinker,53.2,tinkejo01
176,César Cedeño,53.1,cedence01
177,Jack Clark,53.1,clarkja01
178,Bert Campaneris,53.0,campabe01
179,Jose Altuve,52.8,altuvjo01
180,Elmer Flick,52.7,flickel01
181,Fred McGriff,52.6,mcgrifr01
182,Bid McPhee,52.5,mcphebi01
183,José Ramírez,52.4,ramirjo01
184,Aaron Judge,52.2,judgeaa01
185,Jim O'Rourke,52.1,o'rouji01
186,Norm Cash,52.0,cashno01
187,Lance Berkman,51.9,berkmla01
188,Dustin Pedroia,51.9,pedrodu01
189,Earl Averill,51.6,averiea01
190,Luis Gonzalez,51.6,gonzalu01
191,Brian Downing,51.5,downibr01
192,Toby Harrah,51.5,harrato01
193,Bobby Doerr,51.4,doerrbo01
194,Kirby Puckett,51.1,puckeki01
195,Brian Giles,51.1,gilesbr02
196,Bryce Harper,51.1,harpebr03
197,Bob Elliott,50.9,elliobo01
198,Tony Phillips,50.9,phillto02
199,Torii Hunter,50.7,hunteto01
200,Mark Teixeira,50.6,teixema01
201,Jason Giambi,50.5,giambja01
202,Joe Kelley,50.4,kellejo01
203,Ted Simmons,50.4,simmote01
204,Fred Lynn,50.2,lynnfr01
205,Orlando Cepeda,50.1,cepedor01
206,Dave Bancroft,50.0,bancrda01
207,Turkey Stearnes,49.8,steartu99
208,Ellis Burks,49.8,burksel01
209,Brett Butler,49.7,butlebr01
210,Mickey Cochrane,49.7,cochrmi01
211,Francisco Lindor,49.6,lindofr01
212,Bernie Williams,49.6,willibe02
213,Jimmy Sheckard,49.5,sheckji01
214,Willie Wells,49.5,wellswi99
215,Nellie Fox,49.4,foxne01
216,Andrew McCutchen,49.3,mccutan01
217,David Wright,49.2,wrighda03
218,Oscar Charleston,48.8,charlos99
219,Jim Fregosi,48.7,fregoji01
220,Buddy Myer,48.4,myerbu01
221,Heinie Groh,48.3,grohhe01
222,Larry Gardner,48.3,gardnla01
223,Heinie Manush,48.1,manushe01
224,Kiki Cuyler,48.1,cuyleki01
225,Bobby Veach,48.1,veachbo01
226,Buck Ewing,48.0,ewingbu01
227,Ralph Kiner,48.0,kinerra01
228,Wally Schang,48.0,schanwa01
229,Joe Judge,47.9,judgejo01
230,Johnny Evers,47.7,eversjo01
231,Jim Rice,47.7,riceji01
232,Tony Lazzeri,47.6,lazzeto01
233,Jimmy Rollins,47.6,rolliji01
234,Devon White,47.3,whitede03
235,Curtis Granderson,47.2,grandcu01
236,Art Fletcher,47.1,fletcar01
237,Miguel Tejada,47.1,tejadmi01
238,Ryan Braun,47.1,braunry02
239,Tommy Leach,47.1,leachto01
240,King Kelly,47.0,kellyki01
241,Gene Tenace,46.8,tenacge01
242,Roy White,46.8,whitero01
243,Josh Donaldson,46.7,donaljo02
244,Mike Cameron,46.7,camermi01
245,Chuck Klein,46.6,kleinch01
246,Matt Williams,46.6,willima04
247,Dale Murphy,46.5,murphda05
248,Lave Cross,46.5,crossla01
249,Ed Konetchy,46.4,koneted01
250,Mark Grace,46.4,gracema01
251,Vern Stephens,46.2,stephve01
252,Willie Wilson,46.2,wilsowi02
253,Thurman Munson,46.1,munsoth01
254,Frank Chance,46.0,chancfr01
255,Edd Roush,45.8,roushed01
256,Marcus Semien,45.8,semiema01
257,Rusty Staub,45.7,staubru01
258,Deacon White,45.7,whitede01
259,John McGraw,45.7,mcgrajo01
260,Del Pratt,45.6,prattde01
261,Omar Vizquel,45.6,vizquom01
262,Roger Peckinpaugh,45.5,peckiro01
263,Augie Galan,45.4,galanau01
264,Tony Fernández,45.3,fernato01
265,Lou Brock,45.3,brocklo01
266,Harry Stovey,45.2,stoveha01
267,Larry Doyle,45.1,doylela01
268,Earle Combs,45.1,combsea01
269,Paul Hines,45.0,hinespa01
270,Dixie Walker,44.9,walkedi02
271,J.D. Drew,44.9,drewj.01
272,Buster Posey,44.8,poseybu01
273,Red Schoendienst,44.8,schoere01
274,Bill Freehan,44.8,freehbi01
275,Jim Gilliam,44.7,gilliji01
276,Giancarlo Stanton,44.7,stantmi03
277,Chuck Knoblauch,44.6,knoblch01
278,Rocky Colavito,44.5,colavro01
279,Matt Holliday,44.5,hollima01
280,Lonny Frey,44.5,freylo01
281,Troy Tulowitzki,44.5,tulowtr01
282,Ben Zobrist,44.5,zobribe01
283,Carlos Correa,44.4,correca01
284,Cupid Childs,44.4,childcu01
285,Sam Thompson,44.4,thompsa01
286,Carlos Delgado,44.4,delgaca01
287,Brett Gardner,44.3,gardnbr01
288,Nomar Garciaparra,44.3,garcino01
289,Travis Jackson,44.2,jackstr01
290,Steve Finley,44.2,finlest01
291,George Foster,44.1,fostege01
292,Rabbit Maranville,44.0,maranra01
293,Fred Tenney,44.0,tennefr02
294,Al Dark,44.0,darkal01
295,Gil Hodges,43.8,hodgegi01
296,Al Oliver,43.7,oliveal01
297,Charlie Keller,43.6,kellech01
298,Jimmy Ryan,43.6,ryanji01
299,Julio Franco,43.6,francju01
300,Adrián González,43.5,gonzaad01
301,Fielder Jones,43.4,jonesfi01
302,Dolph Camilli,43.2,camildo01
303,Hugh Duffy,43.1,duffyhu01
304,Tony Oliva,43.0,olivato01
305,Amos Otis,42.8,otisam01
306,Ken Williams,42.7,willike01
307,Jorge Posada,42.7,posadjo01
308,Wally Berger,42.6,bergewa01
309,José Canseco,42.5,cansejo01
310,Don Mattingly,42.4,mattido01
311,Davey Lopes,42.4,lopesda01
312,Lenny Dykstra,42.4,dykstle01
313,Hughie Jennings,42.3,jennihu01
314,Mike Tiernan,42.3,tiernmi01
315,Felipe Alou,42.2,aloufe01
316,Phil Rizzuto,42.2,rizzuph01
317,Yadier Molina,42.2,molinya01
318,Nelson Cruz,42.1,cruzne02
319,Darryl Strawberry,42.1,strawda01
320,Ben Chapman,42.1,chapmbe01
321,Gary Gaetti,42.1,gaettga01
322,Roger Bresnahan,42.1,bresnro01
323,Roy Campanella,42.0,camparo01
324,Curt Flood,41.9,floodcu01
325,Bill Nicholson,41.9,nichobi01
326,Harlond Clift,41.9,cliftha01
327,Christian Yelich,41.9,yelicch01
328,Plácido Polanco,41.9,polanpl01
329,Ken Singleton,41.9,singlke01
330,Jason Heyward,41.8,heywaja01
331,Doug DeCinces,41.7,decindo01
332,Jason Kendall,41.7,kendaja01
333,Dick Bartell,41.6,bartedi01
334,Eddie Stanky,41.5,stanked01
335,Andy Van Slyke,41.3,vanslan01
336,Jack Fournier,41.2,fournja01
337,Mark Belanger,41.0,belanma01
338,Hardy Richardson,40.9,richaha01
339,Darrell Porter,40.9,porteda02
340,Xander Bogaerts,40.8,bogaexa01
341,Mike Griffin,40.8,griffmi01
342,Gil McDougald,40.7,mcdougi01
343,Pete Browning,40.6,brownpe01
344,Roy Thomas,40.6,thomaro01
345,David Justice,40.6,justida01
346,Tim Salmon,40.5,salmoti01
347,Jim Sundberg,40.5,sundbji01
348,Carney Lansford,40.5,lansfca01
349,Dave Parker,40.1,parkeda01
350,Dave Concepción,40.1,conceda01
351,Albert Belle,40.1,belleal01
